EntityInternalID,NetSalesCurrent,NetSalesPriorYear,InterestExpense,NetIncomeCurrent,NetIncomePriorYear,CashMarketableSecurities,AccountsReceivableCurrent,AccountsReceivablePriorYear,InventoryCurrent,InventoryPriorYear,CurrentAssetsCurrent,CurrentAssetsPriorYear,TangibleAssets,FixedAssets,TotalAssetsPriorYear,ShortTermDebt,CurrentMaturitiesLongTermDebt,CurrentLiabilitiesCurrent,CurrentLiabilitiesPriorYear,LongTermDebt,CapitalExpenditures,AccountsPayablePriorYear,TotalAssetsCurrent,TotalLiabilities,AccountsPayableCurrent,RetainedEarnings,MinorityInterest,DateLastAudit,EntityName,DateFinancials,GuarantorTIN,GuarantorName,GuarantorInternalRiskRating,GuarantorInternalID,GuarantorFlag,LineReportedOnFRY9C,LienPosition,LineOfBusiness,InterestRateVariability,InterestRateIndex,InterestRateSpread,InterestRateCeiling,InterestRateFloor,CustomerID,InternalCreditFacilityID,OriginalInternalCreditFacilityID,IndustryCodeType,SecurityType,TaxStatus,StockExchange,IndustryCode,TKR,TIN,InterestRate,ObligorName,Country,City,CUSIP,ZipCodeForeignMailingCode,OriginationDate,MaturityDate,OriginalInternalObligorID,FacilityType,CreditFacilityPurpose,CommittedExposure,UtilizedExposure,CumulativeChargeoffs,PastDue,NonAccrualDate,InternalRating
b8432a82-4238-4bc9-b312-36d6572ffadd,282734,85533,2733,240969,51646,4006806,104955,343651,121226,290485,1572382,1544513,7820410,7177374,9602921,2825668,766108,192264,2376090,8770577,328817,560415,6149034,4631262,462153,4622905,NA,2016-07-18,Cortez-Maxwell,2015-04-24,823-47-1405,Tyler Smith,NA,3335f459-406a-4d5c-be9c-f4d2fa00f68e,Partial guarantee,27,First-Lien Senior,argue,4,Mixed,NA,NA,2.11,375ba2cb-cbd5-4b8b-8752-815f97c979aa,0868d68b-fb85-4b6f-aac6-050eccc9464a,241c421f-bb45-4a66-bbf8-ba4c32315b73,GICS,5056,Tax Exempt,executive,166417,who,NA,NA,Conner-Farrell,ID,Hannamouth,DR789099,90434,1973-09-20,2029-07-26,4df5bf44-f509-4457-8e64-8ff61796475e,8,9,995408,529948,NA,347445,1974-05-28,investment
374d74e4-faba-4709-adec-19846e9eeb3c,997077,429620,43511,380946,262790,2959555,648480,905997,485900,334120,412526,262439,5859678,1718412,6715040,2928281,4824630,711722,3602839,8438588,461415,92582,6773795,757858,761093,4525324,NA,1976-08-17,"Cole, Serrano and Freeman",2023-12-13,475-45-2849,Hailey Williams,college,NA,No guarantee,11,Contractually Subordinated,send,3,Treasury Index,9.88,NA,19.47,ba6b1068-b2d4-444e-80b4-38908f89ea87,54219c5b-0e54-41d6-8aa3-dff9acabf178,1451bef0-03dd-480d-99b1-c64ec183b669,GICS,8661,Tax Exempt,factor,325498,fund,750-02-2182,NA,"Johnson, Nielsen and Gardner",BZ,Thomasbury,ZL599032,22726,2004-07-26,2045-02-25,3f6c018d-47dd-44db-ba3c-dca1cc47c96d,7,4,639498,282741,NA,26367,1983-02-27,realize
84abb33d-a4e7-4508-8de0-2e42387a18ab,86139,139078,19968,366657,410644,2057181,930437,318717,247449,184772,16849,2005810,7599365,4622759,9564923,3247008,3548042,2764459,1596277,1744109,932198,809756,8683859,3799401,532476,563580,62526,2019-06-06,"Grimes, Williams and Turner",1971-09-13,630-42-9434,Daniel Garcia,NA,NA,U.S. Government Agency Guarantee,71,First-Lien Senior,who,1,PRIME or Base,NA,NA,NONE,5bd44f8f-38cc-4250-a54e-deab2c437a25,0b86c09f-a08b-4b38-b166-da81974c9a70,78377102-3936-48a4-9faa-cbcdc434d556,SIC,2211,Taxable,out,563118,both,NA,5.20,Fuller Inc,BS,Vargasland,RC331428,70929,2002-08-01,2048-09-05,d8c351e6-c746-403c-979d-d6ad8bff8b2b,3,9,834150,852091,NA,987818,1987-02-13,particular
d1e303d5-f91b-44ac-b0bd-cef424d62611,536523,396435,28102,453115,346828,332503,135732,387126,38915,289492,3571323,4375707,3832258,7498571,4245878,868670,1512412,820026,336168,4536690,340777,611043,8991996,4782576,863866,4652231,NA,1979-06-06,"White, Hernandez and Lin",2024-11-12,NA,NA,NA,ece1fb77-3c95-4d9f-abb9-4c4de7be192f,Full guarantee,33,Contractually Subordinated,player,2,SOFR,NA,NA,NONE,e20c1f5b-9e77-4fee-b955-f67bb3bde140,929d509d-2731-4e96-88bb-4f1de9ba8275,633a640b-fdd6-4a80-a815-b0d883ad5822,SIC,3612,Tax Exempt,call,990537,certain,NA,6.44,Davis-Cole,SE,South Jason,CY853633,47717,1992-07-28,2028-04-30,4f1553b5-d93e-45cd-9e71-59ada68984a1,1,1,805916,324273,2182,529914,1997-04-02,benefit
e38266dc-a9a4-4601-8ffa-38624599c2a8,273033,720464,6366,443642,366150,1258121,757129,67897,174809,245242,4735332,3192974,9247113,2628681,3971259,3591689,3236134,516971,4394755,9347371,350176,762615,2905520,9768384,723813,4980919,44097,2022-03-31,"Hughes, Goodwin and Andersen",1982-10-14,463-87-7958,John Bruce,likely,5bf922b8-85ad-4e5e-a6ee-8b722fca42f0,Partial guarantee,28,Second Lien,body,4,Not applicable (Fixed or entirely fee based),NA,2.52,NONE,9594f3ed-e48e-4b65-a9d9-f7f70b739522,8cb54d50-0114-4f21-8a8e-38c24e06032e,5bd15df7-0028-476c-8697-8d1b0a75f6ce,SIC,9925,Tax Exempt,simple,673809,hard,500-55-6910,NA,"Serrano, Byrd and Taylor",KH,Williamsstad,QJ271574,88565,2015-12-16,2050-02-17,a3815273-506f-4230-b5d9-04898c74e567,3,4,887926,724835,64740,232832,1970-07-14,development
d7326211-2121-417c-b257-c88f5062e50b,671674,76854,8120,334217,135778,4117774,476691,824783,482893,242218,2592714,270850,3716993,311033,5872594,3721072,2096836,1343017,2403500,1810831,456204,919388,7399949,4945603,383364,3173621,NA,2007-09-22,Humphrey-Ferguson,2020-03-12,589-99-9283,NA,its,884c78f0-160a-407c-a970-5349a73db701,No guarantee,84,Second Lien,manage,3,LIBOR,NA,9.56,9.79,4aa6afe8-7fd8-4a22-8fe0-6571a62be5e0,1947b452-f26d-46ce-835c-4fc71912612b,ceb9b0dd-db09-4588-837d-395a2c701939,NAICS,9274,Tax Exempt,everybody,429627,put,NA,1.28,"Chen, Flores and Johnston",MH,Marystad,UG226521,39129,1991-03-30,2030-08-14,ff04d902-6d7f-4556-99e2-2185402c9467,9,4,700813,782385,87878,973860,1981-01-17,something
c8870370-0e30-49de-9a9b-3564e171ec67,409926,146669,19763,239000,234186,3632683,257947,140764,24727,233156,2904993,2253874,2494942,9899727,5654642,38611,125004,3999861,3817716,3257931,60485,26179,8502184,1189865,870989,1616981,NA,1994-10-12,Rogers Ltd,2020-05-06,NA,Joseph Flynn,NA,NA,Full guarantee,100,First-Lien Senior,somebody,2,LIBOR,NA,NA,NONE,37277a2d-2ccc-49fe-b4cc-5d67aa1b59b7,f13eac27-e5d9-4ded-8804-6edbdcab2c7e,bd347422-8365-4797-9498-4ae465f6a0df,GICS,5567,Tax Exempt,early,145978,item,804-90-0326,7.78,"Clark, Rodriguez and Horton",AL,Fordton,JM377146,37620,1989-08-05,2029-06-22,7b092f08-9f88-4c4c-a752-c73a6441ac3e,4,6,187235,219396,53950,325733,1975-12-01,try
468cffbe-5066-4ea7-8974-239f5a29e445,983813,635841,16080,157199,340340,2065956,310349,781566,171431,292069,179598,1237921,7213236,2281489,211066,1181272,1404563,2744694,2857047,7766624,406858,843177,6197961,4065484,818045,3280005,91766,1970-09-02,Adkins-Mcgee,1989-10-28,799-54-5120,NA,NA,NA,U.S. Government Agency Guarantee,49,Senior Unsecured,sea,3,PRIME or Base,NA,NA,NONE,4bad3d1e-d8fd-4383-b48f-298e2e3d6c4a,224858ca-341d-4ac2-8db0-d94c3888b128,b6ff10ca-5473-4684-bebf-ce2b711109bf,NAICS,3553,Tax Exempt,forget,610872,next,NA,NA,Ramirez Ltd,PW,North Scottchester,XP337835,40949,2023-08-30,2035-02-01,8598e5df-4b01-4270-bf52-ef5d7e28474e,2,1,21629,274166,NA,64543,1991-05-05,stage
a9fc884a-d2ab-4b69-907d-245a4c72de46,274525,714813,25447,216557,252414,198639,81722,62741,51415,49238,4982719,4948037,298626,4843234,9928835,493429,3780871,4621143,745314,7384597,52449,861283,7464541,8338981,977762,3556213,NA,1987-01-31,Bowers-Rhodes,1971-10-09,NA,NA,NA,NA,U.S. Government Agency Guarantee,61,Second Lien,effort,2,Mixed,9.88,NONE,19.46,590b282f-5d9e-49c9-a6fe-f1041273cb82,1fdfb85d-3e42-4265-91c0-17b7d65bc19f,72677bea-889f-4bf8-8870-8e23e4ed9317,GICS,9853,Taxable,out,821670,available,NA,1.65,Martinez Group,AZ,Brianport,CQ738634,84318,1984-06-15,2035-11-27,1f962df0-1ec7-4169-a528-19f150abdc08,8,6,660903,961552,NA,883050,1986-11-29,act
c7f27c91-db0e-4203-a630-2621c7f256e9,24024,652033,6155,150349,330857,2984656,658556,621207,392430,476330,3140323,1810032,6642716,3865448,9655997,300922,2715486,4299747,4802120,8934173,122334,413764,8494049,9451792,986812,2220122,NA,2009-11-04,Thompson-Bishop,1970-03-04,508-83-0331,Kylie Baker,NA,56190902-82a9-4882-8c33-afb45bbc8752,U.S. Government Agency Guarantee,83,First-Lien Senior,environment,3,SOFR,NA,NONE,NONE,ed1db462-9302-451f-8de0-4aed9798f472,2590d5f6-8cc0-414a-8eb0-b3bbb0b0b9c5,91c6e784-8d86-4f04-8181-eba1d206f2cc,NAICS,9633,Tax Exempt,history,537642,sell,NA,7.35,Chen-Johnson,NE,New Amanda,HH363568,52607,1975-09-06,2026-05-05,43f1ff94-b6db-4be6-8dfc-d2268d762d9a,7,5,197525,966997,59722,728090,2010-05-06,science
